configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	sinkage_over_draught	uncertainty_Fn	uncertainty_sinkage_over_draught	quality
C2-free-SL0.4	174	274	264	sinkage_over_draught	1793.295	2540.832	0.715125	0.0592089	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1848.117	2609.411	0.741342	0.0430852	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1894.424	2630.088	0.763486	0.0382238	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1986.453	2683.523	0.807496	0.0256606	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	2064.828	2739.350	0.844976	0.0125354	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	2130.000	2712.622	0.876142	0.0188192	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	2199.464	2734.188	0.909361	0.0137489	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	637.597	2818.536	0.161051	0.0127867	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	739.299	2790.498	0.209712	0.0194098	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	810.059	2758.825	0.243569	0.0268917	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	870.935	2727.654	0.272696	0.0342548	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	930.500	2689.338	0.301196	0.0433059	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	961.931	2674.720	0.316235	0.0467590	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1042.749	2579.912	0.354904	0.0691546	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1106.515	2506.883	0.385414	0.0864056	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1134.299	2486.179	0.398707	0.0912963	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1159.897	2458.596	0.410955	0.0978121	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1200.792	2433.796	0.430522	0.1036702	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1212.006	2433.686	0.435888	0.1036962	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1268.347	2433.390	0.462845	0.1037661	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1335.854	2459.362	0.495145	0.0976310	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1387.236	2495.424	0.519730	0.0891124	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1440.280	2519.071	0.545110	0.0835266	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1459.806	2508.899	0.554452	0.0859294	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1463.074	2549.286	0.556016	0.0763891	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1538.578	2570.571	0.592143	0.0713612	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1616.675	2607.634	0.629509	0.0626062	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1701.512	2609.912	0.670101	0.0620681	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1720.575	2613.055	0.679223	0.0613256	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	1848.266	2633.466	0.740319	0.0565042	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	178	276	266	sinkage_over_draught	2082.007	2712.001	0.852157	0.0379525	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
