# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266 and 267; PDF pages 276 and 277; Figures 177, 178, and 179
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_5,free,sinkage_over_draught,37,1696.00,2601.00,0.667641,0.0640441,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,38,1713.00,2610.00,0.675770,0.0619197,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,39,1734.00,2613.00,0.685813,0.0612116,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,40,1771.00,2606.00,0.703507,0.0628639,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,41,1851.00,2635.00,0.741764,0.0560189,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,42,1946.00,2682.00,0.787194,0.0449253,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,43,1966.00,2703.00,0.796759,0.0399685,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,44,2082.00,2720.00,0.852232,0.0359559,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,45,2112.00,2780.00,0.866578,0.0217939,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,46,2199.00,2818.00,0.908183,0.0128245,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,47,2315.00,2846.00,0.963656,0.0062156,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,48,2318.00,2815.00,0.965090,0.0135327,dimensionless,0.003,0.00100,178
